,error_guess_norm,error_optim_norm,improved_params,set_number,initial_likelihood,optimized_likelihood,true_likelihood,N,T,c
0,4.009816826671048,4.005821204875774,32,0,-5568.5349757779495,-5568.533824430644,-5568.799713333568,10,1000,0.25
1,3.8756980713371747,3.8553338657515566,30,1,-5205.394017056928,-5209.488794116598,-5204.898147632768,10,1000,0.25
2,3.8586168753316863,3.8608898662912683,49,2,-5412.304018504374,-5412.295804021542,-5411.277619857261,10,1000,0.25
3,3.9192437260137005,3.920350609413244,64,3,-5604.680915370811,-5604.657932005899,-5605.813162849303,10,1000,0.25
4,3.9966870820646285,4.2665614393075995,73,4,-5095.774414222185,-5092.975058086004,-5092.075547898325,10,1000,0.25
5,4.098771715433629,4.163344565791561,66,5,-5288.809269444979,-5287.8047225444825,-5285.160856527966,10,1000,0.25
6,3.8972540795691684,3.9837312791659087,61,6,-5084.24316231472,-5083.546744331792,-5083.999237139307,10,1000,0.25
7,3.889551109100336,3.8863850987588533,39,7,-5214.047923230395,-5214.045161547909,-5213.6725855217155,10,1000,0.25
8,4.183432559824798,4.180397845555145,52,8,-5436.501845258012,-5436.519648640406,-5435.563162301438,10,1000,0.25
9,3.6426459547485277,3.6430059911227337,58,9,-5275.9800565862515,-5275.977332449189,-5276.332308807774,10,1000,0.25
10,4.283437411854933,4.276544273591904,75,0,-12203.064881356566,-12202.382669877232,-12190.047706522586,10,1000,0.5
11,4.143972142717184,4.144103799068872,61,1,-12221.277120871084,-12221.273878896664,-12217.438566368286,10,1000,0.5
12,4.335675335801159,4.337458342537143,51,2,-12157.293492215045,-12157.301485385084,-12151.847666477923,10,1000,0.5
13,3.9541093862474814,3.954468803516832,55,3,-12316.328165029861,-12316.329631886634,-12313.01634187836,10,1000,0.5
14,3.8918986848934947,3.890953950248296,52,4,-12388.8173696322,-12388.817757775316,-12386.715196073694,10,1000,0.5
15,4.310820718208136,4.313272023351292,61,5,-12240.073131733432,-12240.084834560032,-12232.36053528602,10,1000,0.5
16,4.1000681434693815,4.09848813892994,27,6,-12293.637562386872,-12293.614409622614,-12293.400854204978,10,1000,0.5
17,3.9339378867592463,3.9311996803454616,39,7,-12397.273433488397,-12397.276998951047,-12398.082316306803,10,1000,0.5
18,3.994652061063431,3.997673056516003,50,8,-12089.9372927008,-12089.941702698978,-12083.9225766395,10,1000,0.5
19,4.530476898058279,4.530364960624713,45,9,-12290.310238876005,-12290.283599699225,-12276.176437697917,10,1000,0.5
20,3.8490846721629053,3.847014379839427,59,0,-16263.804681997997,-16263.732146602983,-16260.243424091515,10,1000,0.75
21,3.801615771045196,3.8004139163866197,48,1,-16412.077545763284,-16412.043877925258,-16394.95515036754,10,1000,0.75
22,4.116186906606764,4.1206149082443195,41,2,-16601.259278268888,-16600.783503412,-16545.122357503824,10,1000,0.75
23,4.220486325288606,4.3069177046479314,70,3,-16306.154695000494,-16303.134335663523,-16251.781876923365,10,1000,0.75
24,4.108407233970261,4.107237438366856,59,4,-16256.665530693323,-16256.644316481683,-16241.34962377267,10,1000,0.75
25,3.777788580137891,3.777767788158767,59,5,-16169.055173981309,-16169.00270705828,-16163.880155993766,10,1000,0.75
26,3.6102905253900452,3.6089455193973627,50,6,-16191.452117594888,-16191.417128094115,-16186.267650974829,10,1000,0.75
27,3.8514280150565496,3.8098271771234873,66,7,-16457.82150901506,-16451.151525991023,-16434.999422220608,10,1000,0.75
28,4.254111065850896,4.222417094057711,53,8,-16380.700472193952,-16375.659112138133,-16352.684633897235,10,1000,0.75
29,4.2997083393372515,4.2987434207896404,62,9,-16411.644155024478,-16411.61245237853,-16388.322843318652,10,1000,0.75
30,3.712094345085542,3.81634266570452,65,0,-19252.303671114576,-19247.946738326325,-18940.38236118957,10,1000,1.0
31,4.088266407632171,4.091105742819159,53,1,-19340.364092705735,-19340.046327872813,-19200.603962310663,10,1000,1.0
32,3.9696519299900244,3.9952520184438733,55,2,-19332.21959749079,-19331.71734813696,-19130.78341700451,10,1000,1.0
33,4.069420739460412,4.064084849787619,60,3,-19056.442539782565,-19048.961776573964,-18924.28170412245,10,1000,1.0
34,3.8547990470398004,4.026925102360468,69,4,-19525.8597038228,-19490.847753936767,-19329.588168542916,10,1000,1.0
35,3.8110698634446507,3.8858250093993836,59,5,-19058.85152542792,-19069.810249436065,-18952.210320858456,10,1000,1.0
36,3.568709415371507,3.944624696038935,47,6,-19226.079041735306,-19269.33282430151,-19082.03575185395,10,1000,1.0
37,4.220152266300678,4.236374899266232,60,7,-19158.166276181357,-19155.718467324674,-18933.071428241532,10,1000,1.0
38,4.153878036244812,4.942006366708428,43,8,-19408.52911852097,-19615.375754892688,-19177.780311891576,10,1000,1.0
39,3.8785982429746104,3.85972082948869,68,9,-19273.88118984566,-19261.743480197343,-19170.394204028733,10,1000,1.0
40,4.036130013461286,4.7651568611997215,47,0,-24035.100353051188,-24241.551643844054,-23361.29779303767,10,1000,1.5
41,4.1639872235891024,5.073645190467314,57,1,-24038.491933313388,-24294.276366147245,-23259.347833801956,10,1000,1.5
42,3.656698868641672,3.5981121170644284,63,2,-23496.800356269254,-23462.593027676863,-23066.936385180594,10,1000,1.5
43,3.8033070129246966,3.748508692176731,46,3,-23847.22087236154,-23841.43720862393,-23260.07379635227,10,1000,1.5
44,3.920643322204742,3.925551687217958,52,4,-23980.75671584467,-23980.781575302906,-23434.20532577215,10,1000,1.5
45,4.298467387659524,5.241556275864555,53,5,-23995.197793047355,-24244.323752399374,-23377.32934994506,10,1000,1.5
46,3.9915817081659974,4.741996823343848,42,6,-23753.246688944495,-23952.977106157974,-23211.744233838006,10,1000,1.5
47,4.188846861259848,5.036790150077722,52,7,-24241.34093680071,-24550.381587917807,-23630.996823100148,10,1000,1.5
48,3.981804263207356,3.9780031182630204,57,8,-23945.285695252038,-23939.502590032534,-23277.658111177654,10,1000,1.5
49,4.119996495575974,4.171859475618122,55,9,-24051.552281107954,-24035.665828821147,-23400.47415352545,10,1000,1.5
50,3.893460333212722,4.637434798492801,45,0,-26584.607095819345,-26842.066592900504,-25946.713440760017,10,1000,2.0
51,4.057634654009805,4.076416286630835,56,1,-26685.835249955286,-26682.733503542135,-25947.911692138987,10,1000,2.0
52,3.8963039831954136,4.742379583700961,52,2,-26733.756212007684,-27057.438810384927,-26113.400121352715,10,1000,2.0
53,3.9542148728182376,4.002748024649424,51,3,-26726.01269374697,-26715.226613363524,-26041.035311464253,10,1000,2.0
54,4.105004927815853,4.866704178411933,53,4,-26694.568698341038,-26864.077479949505,-26077.959970995762,10,1000,2.0
55,4.194603950017968,4.231824637942228,52,5,-27277.431289584998,-27264.229195642907,-26559.201042653203,10,1000,2.0
56,4.172318037240599,4.1740038771332975,49,6,-26972.2880017424,-26971.86089772981,-26210.2610745758,10,1000,2.0
57,4.016243349046879,4.018430794674831,62,7,-26360.241483481295,-26353.009794965983,-25866.226043510942,10,1000,2.0
58,4.5695674694942525,4.571101129546592,53,8,-26922.430863578684,-26922.389934086033,-26099.2218784678,10,1000,2.0
59,3.934175667867792,3.9203179834682906,55,9,-26832.267170768573,-26830.66612373953,-26251.91233228906,10,1000,2.0
